id,title,authors,year,type,source_family,url,relevance,evidence,limitations,decision,notes_file
S01,About Wine,WineHQ,n.d.,official documentation,Wine,https://www.winehq.org/about,Defines Wine as a Windows compatibility layer for POSIX systems.,Explains API translation and why Wine is not a full emulator.,"Official documentation, not peer-reviewed empirical evidence.",core,literature/notes/S01_Wine.md
S02,Proton,ValveSoftware,n.d.,official repository,Proton,https://github.com/ValveSoftware/Proton,Primary source for Proton architecture and its relationship with Wine.,Shows Proton as a tool for running Windows games on Linux through Steam.,Focused mainly on Steam gaming.,core,literature/notes/S02_Proton.md
S03,Steam Hardware and Proton,Valve,n.d.,official documentation,Proton limitations,https://partner.steamgames.com/doc/steamhardware/proton,Explains developer-facing Proton compatibility issues.,"Useful for anti-cheat, DRM, launchers, middleware and codec limitations.",Steam ecosystem focus.,core,literature/notes/S03_Proton_limitations.md
S04,Steam Deck Compatibility Review Process,Valve,n.d.,official documentation,SteamOS / Steam Deck,https://partner.steamgames.com/doc/steamdeck/compat,Explains how Valve classifies compatibility.,"Verified, Playable and Unsupported categories.",Specific to Steam Deck / Steam platform.,core,literature/notes/S04_SteamOS___Steam_Deck.md
S05,DXVK,doitsujin / DXVK contributors,n.d.,official repository,DXVK / graphics translation,https://github.com/doitsujin/dxvk,Explains Direct3D 8/9/10/11 translation to Vulkan.,Key component of Proton's technical success.,"Technical repository, not academic analysis.",core,literature/notes/S05_DXVK___graphics_translation.md
S06,VKD3D-Proton,Hans-Kristian Arntzen / contributors,n.d.,official repository,VKD3D-Proton / graphics translation,https://github.com/HansKristian-Work/vkd3d-proton,Explains Direct3D 12 translation to Vulkan for Proton.,Relevant to modern high-complexity Windows software and games.,"Technical repository, not academic analysis.",core,literature/notes/S06_VKD3D-Proton___graphics_translation.md
S07,Steam Runtime,ValveSoftware,n.d.,official repository,Steam Runtime,https://github.com/ValveSoftware/steam-runtime,Explains the runtime layer used to stabilise Linux game execution.,"Useful for reproducibility, runtime isolation and dependency control.",Technical source.,core,literature/notes/S07_Steam_Runtime.md
S08,SteamOS Download and Source Information,Valve,n.d.,official documentation,SteamOS,https://store.steampowered.com/steamos/download,Useful to delimit SteamOS components and source-package availability.,Shows boundary between open-source components and proprietary Steam client.,"Platform documentation, not a scientific source.",core,literature/notes/S08_SteamOS.md
S09,Gamescope,ValveSoftware,n.d.,official repository,SteamOS / compositor,https://github.com/ValveSoftware/gamescope,Explains the gaming-oriented compositor used in SteamOS-like environments.,Useful for the SteamOS platform architecture section.,Gaming-specific.,supporting,literature/notes/S09_SteamOS___compositor.md
S10,Bazzite Documentation,Bazzite / Universal Blue,n.d.,official documentation,Bazzite,https://docs.bazzite.gg/,Main source for Bazzite as a Fedora Atomic SteamOS-like distribution.,"Useful for atomic updates, rollback, Steam Gaming Mode and usability.","Project documentation, not academic evidence.",core,literature/notes/S10_Bazzite.md
